state_id,id,name,state_id/id,ciudad_id:id
estados_mx.res_country_state_mx_chih,municipio_325,Madera,estados_mx.res_country_state_mx_chih,ciudad_98
estados_mx.res_country_state_mx_chih,municipio_326,Madera,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_327,Namiquipa,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_328,Temósachic,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_329,Matachí,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_330,Juárez,estados_mx.res_country_state_mx_chih,ciudad_99
estados_mx.res_country_state_mx_chih,municipio_331,Juárez,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_332,Guadalupe,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_333,Praxedis G. Guerrero,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_334,Ahumada,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_335,Coyame del Sotol,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_336,Ojinaga,estados_mx.res_country_state_mx_chih,ciudad_100
estados_mx.res_country_state_mx_chih,municipio_337,Ojinaga,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_338,Aldama,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_339,Aldama,estados_mx.res_country_state_mx_chih,ciudad_101
estados_mx.res_country_state_mx_chih,municipio_340,Julimes,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_341,Manuel Benavides,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_342,Delicias,estados_mx.res_country_state_mx_chih,ciudad_102
estados_mx.res_country_state_mx_chih,municipio_343,Delicias,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_344,Rosales,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_345,Meoqui,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_346,Dr. Belisario Domínguez,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_347,Satevó,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_348,San Francisco de Borja,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_349,Nonoava,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_350,Guachochi,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_351,Bocoyna,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_352,Cusihuiriachi,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_353,Gran Morelos,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_354,Santa Isabel,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_355,Carichí,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_356,Uruachi,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_357,Ocampo,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_358,Moris,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_359,Chínipas,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_360,Maguarichi,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_361,Guazapares,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_362,Batopilas,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_363,Urique,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_364,Morelos,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_365,Guadalupe y Calvo,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_366,San Francisco del Oro,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_367,Rosario,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_368,Huejotitán,estados_mx.res_country_state_mx_chih,
