id,name,state_id/id
ciudad_33,Escárcega,cfd_mx.res_country_state_mx_camp
ciudad_36,Hecelchakán,cfd_mx.res_country_state_mx_camp
ciudad_35,Hopelchén,cfd_mx.res_country_state_mx_camp
ciudad_37,Pomuch,cfd_mx.res_country_state_mx_camp
ciudad_31,Sabancuy,cfd_mx.res_country_state_mx_camp
ciudad_29,San Francisco de Campeche,cfd_mx.res_country_state_mx_camp
ciudad_96,Bachíniva,cfd_mx.res_country_state_mx_chih
ciudad_93,Chihuahua,cfd_mx.res_country_state_mx_chih
ciudad_95,Colonia Anáhuac,cfd_mx.res_country_state_mx_chih
ciudad_94,Cuauhtémoc,cfd_mx.res_country_state_mx_chih
ciudad_102,Delicias,cfd_mx.res_country_state_mx_chih
ciudad_105,Hidalgo del Parral,cfd_mx.res_country_state_mx_chih
ciudad_106,José Mariano Jiménez,cfd_mx.res_country_state_mx_chih
ciudad_101,Juan Aldama,cfd_mx.res_country_state_mx_chih
ciudad_99,Juárez,cfd_mx.res_country_state_mx_chih
ciudad_98,Madera,cfd_mx.res_country_state_mx_chih
ciudad_100,Manuel Ojinaga,cfd_mx.res_country_state_mx_chih
ciudad_97,Nuevo Casas Grandes,cfd_mx.res_country_state_mx_chih
ciudad_104,Santa Rosalía de Camargo,cfd_mx.res_country_state_mx_chih
ciudad_103,Saucillo,cfd_mx.res_country_state_mx_chih
ciudad_72,Acala,cfd_mx.res_country_state_mx_chis
ciudad_83,Arriaga,cfd_mx.res_country_state_mx_chis
ciudad_91,Cacahoatán,cfd_mx.res_country_state_mx_chis
ciudad_70,Chiapa de Corzo,cfd_mx.res_country_state_mx_chis
ciudad_81,Cintalapa de Figueroa,cfd_mx.res_country_state_mx_chis
ciudad_77,Comitán de Domínguez,cfd_mx.res_country_state_mx_chis
ciudad_88,Huixtla,cfd_mx.res_country_state_mx_chis
ciudad_82,Jiquipilas,cfd_mx.res_country_state_mx_chis
ciudad_78,Las Margaritas,cfd_mx.res_country_state_mx_chis
ciudad_80,Las Rosas,cfd_mx.res_country_state_mx_chis
ciudad_87,Mapastepec,cfd_mx.res_country_state_mx_chis
ciudad_92,Motozintla de Mendoza,cfd_mx.res_country_state_mx_chis
ciudad_75,Ocosingo,cfd_mx.res_country_state_mx_chis
ciudad_69,Ocozocoautla de Espinosa,cfd_mx.res_country_state_mx_chis
ciudad_76,Palenque,cfd_mx.res_country_state_mx_chis
ciudad_74,Pichucalco,cfd_mx.res_country_state_mx_chis
ciudad_86,Pijijiapan,cfd_mx.res_country_state_mx_chis
ciudad_90,Puerto Madero (San Benito),cfd_mx.res_country_state_mx_chis
ciudad_73,Reforma,cfd_mx.res_country_state_mx_chis
ciudad_71,San Cristóbal de las Casas,cfd_mx.res_country_state_mx_chis
ciudad_89,Tapachula de Córdova y Ordóñez,cfd_mx.res_country_state_mx_chis
ciudad_85,Tonalá,cfd_mx.res_country_state_mx_chis
ciudad_68,Tuxtla Gutiérrez,cfd_mx.res_country_state_mx_chis
ciudad_79,Venustiano Carranza,cfd_mx.res_country_state_mx_chis
ciudad_84,Villaflores,cfd_mx.res_country_state_mx_chis
ciudad_66,Ciudad de Armería,cfd_mx.res_country_state_mx_col
ciudad_67,Ciudad de Villa de Álvarez,cfd_mx.res_country_state_mx_col
ciudad_63,Colima,cfd_mx.res_country_state_mx_col
ciudad_65,Manzanillo,cfd_mx.res_country_state_mx_col
